Player,Country,Matches,Field_Catches,Bat_Avg_T20,Strike_Rate_T20,Bowl_Avg_T20,Econ_T20,Bowl_Wkts_T20,Bat_Runs_T20,Bat_Avg_ODI,Strike_Rate_ODI,Bowl_Avg_ODI,Econ_ODI,Bowl_Wkts_ODI,Bat_Runs_ODI,Bat_Avg_Test,Strike_Rate_Test,Bowl_Avg_Test,Econ_Test,Bowl_Wkts_Test,Bat_Runs_Test,Bat_Avg_Overall,Bowl_Wkts_Overall,Avg_vs_International,Avg_vs_League,Avg_vs_Australia,Avg_vs_India,Avg_vs_England
J de Figueiredo,Portugal,3,2,1.0,33.33,24.5,4.32,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
K Sequiera,Portugal,3,0,37.0,90.24,53.0,4.08,1.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,0.0,37.0,0.0,0.0,0.0
IK Cheema,Portugal,3,1,11.0,73.33,25.33,5.3,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,11.0,0.0,0.0,0.0
B Maximo,Portugal,3,0,0.0,0.0,27.0,5.72,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Mariam Waseem,Portugal,2,1,1.0,16.67,29.0,6.96,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Afsheen Ahmed,Portugal,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joanna Child,Portugal,2,0,2.0,20.0,0.0,5.08,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
I Kaur,Portugal,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Rautela,Norway,5,0,7.33,32.84,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.33,0.0,0.0,7.33,0.0,0.0,0.0
BO Shastri,United States of America,3,2,6.0,44.44,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0
NL Mtomba,Zimbabwe,3,1,14.0,133.33,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0
M Patwardhan,United States of America,3,1,1.0,25.0,0.0,0.0,0.0,1.0,0.5,7.69,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.0,0.0,0.0,0.0
P Choudhary,Czech Republic,6,0,3.0,36.59,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0
D Mehtani,Czech Republic,4,1,1.0,22.22,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
O Hamrikova,Czech Republic,8,0,2.5,21.51,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0
E Konasova,Czech Republic,5,0,2.0,7.27,38.0,5.92,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0
K Kisova,Czech Republic,5,0,0.2,2.5,0.0,6.73,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0
I Siriwardanalage,Cyprus,1,0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CS Gamlath,Unknown,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I Majdancic,Croatia,2,1,17.5,79.55,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,17.5,0.0,0.0,0.0
S Budhathoki,Malta,2,0,2.0,100.0,7.2,3.79,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0
D Pavelic,Croatia,2,0,16.0,52.46,13.67,4.47,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,16.0,0.0,0.0,0.0
SZ Peles,Croatia,2,0,5.0,29.41,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0
M Durdevac,Croatia,2,0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SV Shankar,Malta,1,0,5.0,45.45,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0
I Smotara,Croatia,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Sviben,Croatia,1,0,4.0,57.14,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0
N Kingsley,Germany,13,3,11.5,101.77,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.5,14.25,0.0,0.0,0.0
K Tereza,Greece,7,0,14.0,45.65,83.0,7.01,1.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,14.0,0.0,0.0,0.0
I Edwards,Germany,13,1,4.5,26.47,20.85,5.87,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,13.0,1.5,6.0,0.0,0.0,0.0
Ashwini Balaji,Germany,16,3,1.0,28.57,29.33,5.6,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0
A Kourkoulou,Greece,5,0,4.67,36.84,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.67,0.0,0.0,4.67,0.0,0.0,0.0
T Koula,Greece,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Kanukuntla,Germany,13,1,12.83,42.31,36.8,5.41,5.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.83,5.0,9.67,16.0,0.0,0.0,0.0
MD Botha,United Arab Emirates,17,3,19.4,85.09,10.93,4.68,14.0,97.0,25.75,66.88,13.54,3.69,13.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22,27.0,22.22,0.0,0.0,0.0,0.0
ATS Silva,United Arab Emirates,9,1,0.0,0.0,26.33,5.71,3.0,0.0,1.0,100.0,25.2,4.78,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0
